Feature,Gain_Importance,Split_Importance,Mean_Contrib_Value,Impact_Direction
ATR,0.1352118328336775,0.1338862559241706,-0.004113853251977786,Negative
US_10Y_Yield,0.12020617992188146,0.06595576619273302,0.00565532216558979,Positive
MACD_signal,0.11015040182562863,0.08570300157977884,0.005107149336187959,Positive
NASDAQ_Return_20d,0.09731549855050058,0.07701421800947868,-0.007237311951843312,Negative
BB_width,0.053828964703358934,0.0631911532385466,-0.0007984406082534656,Negative
SP500_Return_20d,0.0463161224752926,0.044233807266982623,-0.0010515437816878098,Negative
Price_Ratio_MA50,0.04402822504389582,0.045023696682464455,0.001781918731444666,Positive
VIX_Ratio_MA20,0.042133821631211876,0.038704581358609796,3.29096670771793e-05,Positive
Return_10d,0.037338951733049144,0.03475513428120063,-0.004592506916681863,Negative
MACD_histogram,0.032114778450350386,0.041469194312796206,-0.0032307628941263896,Negative
HSI_Return_5d,0.030887017925114283,0.024881516587677725,-0.004499952919220467,Negative
MACD,0.02980949299740364,0.04107424960505529,-0.0001639671877785407,Negative
Return_20d,0.021691889769298034,0.02448657187993681,5.7968996890399146e-05,Positive
Price_Ratio_MA20,0.021268317209529628,0.02014218009478673,-0.0009765951243481134,Negative
NASDAQ_Return_5d,0.019395593618160175,0.022906793048973143,-7.471899501759006e-05,Negative
RSI,0.018608383300778047,0.02448657187993681,-0.008308581012068942,Negative
SP500_Return_5d,0.017994559674008908,0.015007898894154818,0.0008943312242967042,Positive
Relative_Return,0.01708862596888366,0.02093206951026856,0.0,Negative
Vol_Ratio,0.015871327719315483,0.030015797788309637,3.926648613528359e-05,Positive
BB_position,0.01291636461912467,0.017772511848341232,4.3943113595046587e-05,Positive
Price_Pct_20d,0.012786818242664881,0.018167456556082148,0.00045160008747090484,Positive
US_10Y_Yield_Change,0.011935358472717001,0.016192733017377565,-0.0014313484789991826,Negative
Price_Ratio_MA5,0.009956590216810475,0.017772511848341232,-0.004229159875431735,Negative
Momentum_10d,0.009324248515593605,0.006714060031595577,0.0003024882786724292,Positive
SP500_Return,0.00617573002910398,0.011453396524486572,-0.0018037628585997928,Negative
HSI_Return,0.00504883904049362,0.01066350710900474,-0.0037037547000018834,Negative
NASDAQ_Return,0.00469298457966606,0.007898894154818325,0.019836127533760847,Positive
VIX_Change,0.004681991039367413,0.011058451816745656,-0.000860705425887678,Negative
Return_1d,0.004035616950959077,0.012243285939968405,-0.0017827960994010832,Negative
Return_5d,0.003309674981979354,0.010268562401263823,0.015683444889393505,Positive
BB_Position,0.00323103616109632,0.004344391785150079,0.0011948955592280563,Positive
Momentum_5d,0.0003864702821858522,0.001184834123222749,-0.00600838960185509,Negative
Weak_Volume_Down,0.0002582915168989309,0.00039494470774091627,0.0042621832990501745,Positive
Strong_Volume_Up,0.0,0.0,-0.0008772272835059646,Negative
