code,ml_prediction,ml_probability,smart_has_buildup,smart_has_distribution,signal_match
0005.HK,1,0.5959417124112159,False,False,False
0388.HK,1,0.6492964248284612,False,False,False
0700.HK,1,0.5128182856685628,False,False,False
0728.HK,0,0.4853894224447492,False,False,True
0883.HK,1,0.5946490114007719,False,False,False
0939.HK,0,0.4663261548555364,False,False,True
0941.HK,0,0.463328694153685,False,False,True
0981.HK,1,0.5651708174329639,False,False,False
1088.HK,1,0.5453399644073181,False,False,False
1138.HK,1,0.5319117947767749,False,False,False
1211.HK,1,0.5708878464936212,False,False,False
1288.HK,1,0.5267615949026015,False,False,False
1299.HK,0,0.4734072693626494,False,False,True
1330.HK,0,0.48295262973148306,False,False,True
1347.HK,1,0.6450276295075283,False,False,False
1398.HK,1,0.5889646736068955,False,False,False
1810.HK,1,0.5073781382194007,False,False,False
2269.HK,0,0.4424410023737203,False,False,True
2533.HK,1,0.5091843711186409,False,False,False
3690.HK,1,0.5490732302529661,False,False,False
3968.HK,1,0.5112050244714222,False,False,False
6682.HK,1,0.5369222164525409,False,False,False
9660.HK,1,0.5881330543503555,False,False,False
9988.HK,1,0.5381687401623696,False,False,False
